Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,15317,0,3,3.8153714304366857,1.8219999999971037,61.96860000000015,8688.0,73.19202258543352,0.0,3,4,4,4,5,6,11,17,49,61,62
,Aggregated,15317,0,3,3.8153714304366857,1.8219999999971037,61.96860000000015,8688.0,73.19202258543352,0.0,3,4,4,4,5,6,11,17,49,61,62
