Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,791,0,3,3.543131731984791,2.235999999982141,48.81149999999934,8688.0,3.3202780453932377,0.0,3,3,3,4,4,4,5,24,49,49,49
GET,/,1560,0,3,3.150419999999845,2.003599999994776,74.95680000000004,8688.0,6.529093872748663,0.0,3,3,3,3,4,4,5,17,62,75,75
GET,/,2394,0,3,3.2066000417707823,1.9891000000029635,48.79389999999262,8688.0,10.044065375914252,0.0,3,3,3,3,4,4,6,17,23,49,49
GET,/,3165,0,3,3.3377205371247136,1.979499999976042,62.33809999999984,8688.0,13.217947699789946,0.0,3,3,3,4,4,5,6,17,49,62,62
GET,/,3988,0,3,3.2976566449346256,1.9906999999932395,52.06379999999999,8688.0,16.65444423133472,0.0,3,3,3,3,4,4,6,16,51,52,52
GET,/,4785,0,3,3.364128505747208,1.9907999999873027,81.72100000001592,8688.0,19.99861769629169,0.0,3,3,4,4,4,5,6,18,49,82,82
GET,/,5568,0,3,3.2212538613506227,1.8543000000050824,48.72310000001789,8688.0,23.26014197346055,0.0,3,3,3,3,4,5,6,16,44,49,49
GET,/,6309,0,3,3.3843465683943923,2.0327999999949498,87.48620000000074,8688.0,26.35535034255623,0.0,3,3,3,4,4,5,7,16,49,87,87
GET,/,7040,0,3,3.312673423295307,1.8329000000107956,60.54640000000156,8688.0,29.413158253128216,0.0,3,3,3,4,4,5,7,15,49,61,61
GET,/,7819,0,3,3.4230134416165847,1.772199999997781,115.1118000000011,8688.0,32.661790406196126,0.0,3,3,4,4,4,5,7,17,49,120,120
GET,/,8611,0,3,3.433604598768908,1.7212999999856038,63.42880000000051,8688.0,35.96087960617023,0.0,3,3,4,4,4,5,7,16,49,63,63
GET,/,9341,0,3,3.40687781822074,1.8057000000055723,65.12460000000075,8688.0,39.01420103405345,0.0,3,3,4,4,4,5,7,17,48,65,65
