Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,12407,0,3,3.856616651890005,1.8374999999934971,92.63589999999056,8688.0,51.97599106846099,0.0,3,4,4,4,5,6,10,20,74,88,93
,Aggregated,12407,0,3,3.856616651890005,1.8374999999934971,92.63589999999056,8688.0,51.97599106846099,0.0,3,4,4,4,5,6,10,20,74,88,93
